全网通,#genre#
CCTV-1综合,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1
CCTV-2财经,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2
CCTV-3综艺,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV-4中文国际,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV-5体育,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV-6电影,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6
CCTV-7国防军事,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7
CCTV-8电视剧,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8
CCTV-9纪录,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9
CCTV-10科教,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10
CCTV-11戏曲,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11
CCTV-12社会与法,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12
CCTV-13新闻,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13
CCTV-14少儿,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14
CCTV-15音乐,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15
CCTV-16休息,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16
CCTV-17农业农村,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17
CCTV-5+体育赛事,http://119.60.214.202:8089/hls/17/index.m3u8
北京卫视,http://qwt.zhibotv.top:2016/全网通.php?id=北京卫视
天津卫视,http://qwt.zhibotv.top:2016/全网通.php?id=天津卫视
东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视
东南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东南卫视
海南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=海南卫视
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视
广西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广西卫视
深圳卫视,http://qwt.zhibotv.top:2016/全网通.php?id=深圳卫视
江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视
江西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江西卫视
浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视
湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视
湖北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖北卫视
安徽卫视,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视
山东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视
山西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山西卫视
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河南卫视
河北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河北卫视
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8
龙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=黑龙江卫视
吉林卫视,http://qwt.zhibotv.top:2016/全网通.php?id=吉林卫视
辽宁卫视,http://qwt.zhibotv.top:2016/全网通.php?id=辽宁卫视
云南卫视,http://119.60.214.202:8089/hls/48/index.m3u8
贵州卫视,http://qwt.zhibotv.top:2016/全网通.php?id=贵州卫视
四川卫视,http://qwt.zhibotv.top:2016/全网通.php?id=四川卫视
重庆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=重庆卫视
陕西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=陕西卫视
新疆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=新疆卫视
凤凰中文台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
无线新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
中天新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
寰宇新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
CHC家庭影院,http://qwt.zhibotv.top:2016/全网通.php?id=CHC家庭影院
CHC影迷电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC影迷电影
CHC动作电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC动作电影
TG收集,#genre#
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,https://s1.m16tv.cfd/aktv/CH-4/AKTV.m3u8
凤凰资讯,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空国际,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰香港,https://s1.m16tv.cfd/aktv/CH-5/AKTV.m3u8
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
测试香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰资讯台,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文台,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
星空卫视(国际),http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889901.flv
天映经典,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889902.flv
Now爆谷台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889903.flv
Now星影台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889904.flv
Now紫金国际,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889905.flv
黄金华剧台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889908.flv
Now华剧台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889909.flv
中天新闻台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889911.flv
PopC电影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889912.flv
TVBS HD,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889913.flv
好莱坞电影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889925.flv
美亚电影(台),http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889926.flv
TVB功夫(国),http://push-rtmp-hs-spe-f5.douyincdn.com/live/77889928.flv
龙华电影, https://cdn8.163189.xyz/live/lhdy/stream.m3u8
美亚电影TW,http://198.16.100.186:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
龍祥時代,http://t.061899.xyz/tl/168.php?id=lxsd
龍華偶像,http://t.061899.xyz/tl/168.php?id=lhox
龍華戲劇,http://t.061899.xyz/tl/168.php?id=lhxj
龍華洋片,http://t.061899.xyz/tl/168.php?id=lhyp
龍華經典,http://t.061899.xyz/tl/168.php?id=lhjd
龍華電影,http://t.061899.xyz/tl/168.php?id=lhdy
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
大陸,#genre#
CCTV1 综合HD,https://hls-gateway.vpstv.net/streams/476879.m3u8
CCTV2 财经HD,https://hls-gateway.vpstv.net/streams/476881.m3u8
CCTV3 综艺HD,https://hls-gateway.vpstv.net/streams/476883.m3u8
CCTV4 中文国际HD,https://hls-gateway.vpstv.net/streams/476884.m3u8
CCTV5 体育HD,https://hls-gateway.vpstv.net/streams/476885.m3u8
CCTV5+ 体育赛事HD,https://hls-gateway.vpstv.net/streams/476888.m3u8
CCTV6 电影HD,https://hls-gateway.vpstv.net/streams/476890.m3u8
CCTV7 国防军事HD,https://hls-gateway.vpstv.net/streams/476891.m3u8
CCTV8 电视剧HD,https://hls-gateway.vpstv.net/streams/476892.m3u8
CCTV9 纪录HD,https://hls-gateway.vpstv.net/streams/476893.m3u8
CCTV10 科教HD,https://hls-gateway.vpstv.net/streams/476896.m3u8
CCTV11 戏曲HD,https://hls-gateway.vpstv.net/streams/476897.m3u8
CCTV12 社会与法HD,https://hls-gateway.vpstv.net/streams/476898.m3u8
CCTV13 新闻HD,https://hls-gateway.vpstv.net/streams/476899.m3u8
CCTV14 少儿HD,https://hls-gateway.vpstv.net/streams/476900.m3u8
CCTV15 音乐HD,https://hls-gateway.vpstv.net/streams/476901.m3u8
CCTV16 奥林匹克,https://hls-gateway.vpstv.net/streams/709272.m3u8
CCTV17HD,https://hls-gateway.vpstv.net/streams/708820.m3u8
CCTV 4K,https://hls-gateway.vpstv.net/streams/708821.m3u8
央视文化精品,https://hls-gateway.vpstv.net/streams/708832.m3u8
湖南卫视,https://hls-gateway.vpstv.net/streams/476904.m3u8
江西卫视,https://hls-gateway.vpstv.net/streams/708831.m3u8
辽宁卫视,https://hls-gateway.vpstv.net/streams/708828.m3u8
东南卫视,https://hls-gateway.vpstv.net/streams/708823.m3u8
海南卫视,https://hls-gateway.vpstv.net/streams/708822.m3u8
云南卫视,https://hls-gateway.vpstv.net/streams/708863.m3u8
陕西卫视,https://hls-gateway.vpstv.net/streams/708826.m3u8
广西卫视,https://hls-gateway.vpstv.net/streams/708864.m3u8
大湾区卫视,https://hls-gateway.vpstv.net/streams/708866.m3u8
安徽卫视,https://hls-gateway.vpstv.net/streams/708868.m3u8
内蒙古卫视,https://hls-gateway.vpstv.net/streams/708827.m3u8
山东卫视,https://hls-gateway.vpstv.net/streams/708860.m3u8
青海卫视,https://hls-gateway.vpstv.net/streams/708825.m3u8
河南卫视,https://hls-gateway.vpstv.net/streams/708871.m3u8
黑龙江卫视,https://hls-gateway.vpstv.net/streams/708854.m3u8
天津卫视,https://hls-gateway.vpstv.net/streams/708872.m3u8
山西卫视,https://hls-gateway.vpstv.net/streams/708874.m3u8
贵州卫视,https://hls-gateway.vpstv.net/streams/708850.m3u8
上海都市,https://hls-gateway.vpstv.net/streams/708849.m3u8
吉林卫视,https://hls-gateway.vpstv.net/streams/708844.m3u8
江苏卫视,https://hls-gateway.vpstv.net/streams/476906.m3u8
浙江卫视,https://hls-gateway.vpstv.net/streams/476909.m3u8
东方卫视,https://hls-gateway.vpstv.net/streams/709068.m3u8
北京卫视,https://hls-gateway.vpstv.net/streams/476912.m3u8
深圳卫视,https://hls-gateway.vpstv.net/streams/476913.m3u8
广东卫视,https://hls-gateway.vpstv.net/streams/476914.m3u8
广东珠江,https://hls-gateway.vpstv.net/streams/476221.m3u8
湖北卫视,https://hls-gateway.vpstv.net/streams/476198.m3u8
珠江卫视,https://hls-gateway.vpstv.net/streams/476943.m3u8
四川卫视,https://hls-gateway.vpstv.net/streams/476917.m3u8
河北卫视,https://hls-gateway.vpstv.net/streams/476920.m3u8
重庆卫视,https://hls-gateway.vpstv.net/streams/476918.m3u8
厦门卫视,https://hls-gateway.vpstv.net/streams/708838.m3u8
风云剧场HD,https://hls-gateway.vpstv.net/streams/708861.m3u8
上海卫视,https://hls-gateway.vpstv.net/streams/708824.m3u8
岭南戏曲,https://hls-gateway.vpstv.net/streams/476950.m3u8
广东体育,https://hls-gateway.vpstv.net/streams/476954.m3u8
五星体育,https://hls-gateway.vpstv.net/streams/636980.m3u8
广东影视,https://hls-gateway.vpstv.net/streams/661873.m3u8
广东新闻,https://hls-gateway.vpstv.net/streams/708873.m3u8
茂名综合,https://hls-gateway.vpstv.net/streams/708982.m3u8
佛山综合,https://hls-gateway.vpstv.net/streams/708979.m3u8
湛江综合,https://hls-gateway.vpstv.net/streams/708978.m3u8
珠海-1台,https://hls-gateway.vpstv.net/streams/708981.m3u8
汕尾-1台,https://hls-gateway.vpstv.net/streams/708977.m3u8
风云足球HD,https://hls-gateway.vpstv.net/streams/708859.m3u8
CHC家庭影院/265,https://hls-gateway.vpstv.net/streams/708867.m3u8
CHC动作电影/265,https://hls-gateway.vpstv.net/streams/708869.m3u8
CHC高清电影/265,https://hls-gateway.vpstv.net/streams/708870.m3u8
兵器科技HD,https://hls-gateway.vpstv.net/streams/708856.m3u8
央视台球,https://hls-gateway.vpstv.net/streams/708855.m3u8
怀旧剧场HD,https://hls-gateway.vpstv.net/streams/708853.m3u8
世界地理HD,https://hls-gateway.vpstv.net/streams/708852.m3u8
江门综合,https://hls-gateway.vpstv.net/streams/708830.m3u8
动漫秀场,https://hls-gateway.vpstv.net/streams/708843.m3u8
第一财经HD,https://hls-gateway.vpstv.net/streams/708851.m3u8
深圳都市,https://hls-gateway.vpstv.net/streams/708846.m3u8
都市剧场,https://hls-gateway.vpstv.net/streams/708845.m3u8
魅力足球HD,https://hls-gateway.vpstv.net/streams/708839.m3u8
快乐垂钓HD,https://hls-gateway.vpstv.net/streams/708835.m3u8
乐游HD,https://hls-gateway.vpstv.net/streams/708840.m3u8
风云音乐HD,https://hls-gateway.vpstv.net/streams/708858.m3u8
上海新闻综合,https://hls-gateway.vpstv.net/streams/708847.m3u8
梨园频道,https://hls-gateway.vpstv.net/streams/708842.m3u8
纪实科教HD,https://hls-gateway.vpstv.net/streams/708837.m3u8
福建海峡,https://hls-gateway.vpstv.net/streams/708836.m3u8
金鹰纪实HD,https://hls-gateway.vpstv.net/streams/708834.m3u8
汕头综合HD,https://hls-gateway.vpstv.net/streams/708829.m3u8
第一剧场HD,https://hls-gateway.vpstv.net/streams/708862.m3u8
高尔夫网球HD,https://hls-gateway.vpstv.net/streams/708857.m3u8
茶HD,https://hls-gateway.vpstv.net/streams/708833.m3u8
早期教育,https://hls-gateway.vpstv.net/streams/708970.m3u8
武术世界,https://hls-gateway.vpstv.net/streams/708969.m3u8
先锋乒羽,https://hls-gateway.vpstv.net/streams/708971.m3u8
求索记录,https://hls-gateway.vpstv.net/streams/708975.m3u8
文物宝库,https://hls-gateway.vpstv.net/streams/708841.m3u8
黑龙江卫视,https://hls-gateway.vpstv.net/streams/708854.m3u8
甘肃卫视,https://hls-gateway.vpstv.net/streams/709092.m3u8
宁夏卫视,https://hls-gateway.vpstv.net/streams/709093.m3u8
新疆卫视,https://hls-gateway.vpstv.net/streams/709094.m3u8
上海纪实,https://hls-gateway.vpstv.net/streams/709570.m3u8
电影轮播,#genre#
电影_星爷,https://fmbox.cc/huya.php?id=11342412
电影_英叔,https://fmbox.cc/huya.php?id=11342421
电影_发哥,https://fmbox.cc/huya.php?id=11342387
电影_成龙,https://fmbox.cc/huya.php?id=11342386
电影_王晶,https://fmbox.cc/huya.php?id=11602058
电影_沈腾,https://fmbox.cc/huya.php?id=11601968
电影_黄渤,https://fmbox.cc/huya.php?id=11352876
电影_强森,https://fmbox.cc/huya.php?id=21059581
电影_漫威,https://fmbox.cc/huya.php?id=11602034
电影_宇宙,https://fmbox.cc/huya.php?id=11342428
电影_怪兽,https://fmbox.cc/huya.php?id=21059577
电影_武侠,https://fmbox.cc/huya.php?id=11342427
