全网通,#genre#
CCTV-1综合,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1
CCTV-2财经,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2
CCTV-3综艺,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV-4中文国际,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV-5体育,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV-6电影,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6
CCTV-7国防军事,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7
CCTV-8电视剧,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8
CCTV-9纪录,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9
CCTV-10科教,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10
CCTV-11戏曲,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11
CCTV-12社会与法,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12
CCTV-13新闻,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13
CCTV-14少儿,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14
CCTV-15音乐,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15
CCTV-16休息,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16
CCTV-17农业农村,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17
CCTV-5+体育赛事,http://119.60.214.202:8089/hls/17/index.m3u8
北京卫视,http://qwt.zhibotv.top:2016/全网通.php?id=北京卫视
天津卫视,http://qwt.zhibotv.top:2016/全网通.php?id=天津卫视
东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视
东南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东南卫视
海南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=海南卫视
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视
广西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广西卫视
深圳卫视,http://qwt.zhibotv.top:2016/全网通.php?id=深圳卫视
江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视
江西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江西卫视
浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视
湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视
湖北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖北卫视
安徽卫视,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视
山东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视
山西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山西卫视
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河南卫视
河北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河北卫视
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8
龙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=黑龙江卫视
吉林卫视,http://qwt.zhibotv.top:2016/全网通.php?id=吉林卫视
辽宁卫视,http://qwt.zhibotv.top:2016/全网通.php?id=辽宁卫视
云南卫视,http://119.60.214.202:8089/hls/48/index.m3u8
贵州卫视,http://qwt.zhibotv.top:2016/全网通.php?id=贵州卫视
四川卫视,http://qwt.zhibotv.top:2016/全网通.php?id=四川卫视
重庆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=重庆卫视
陕西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=陕西卫视
新疆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=新疆卫视
凤凰中文台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港台,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台
无线新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
中天新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
寰宇新闻台,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
CHC家庭影院,http://qwt.zhibotv.top:2016/全网通.php?id=CHC家庭影院
CHC影迷电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC影迷电影
CHC动作电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC动作电影
全网通备,#genre#
CCTV1,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV5,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
CCTV6,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-6H265_4000.m3u8
CCTV7,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-7H265_4000.m3u8
CCTV8,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-8H265_4000.m3u8
CCTV9,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-9H265_4000.m3u8
CCTV10,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-10H265_4000.m3u8
CCTV11,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-11-H265_4000.m3u8
CCTV12,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-12H265_4000.m3u8
CCTV13,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-xw_4000.m3u8
CCTV14,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-14H265_4000.m3u8
CCTV15,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-15-yyH265_4000.m3u8
CCTV16,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-16_4000.m3u8
CCTV16-4k,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-16-4K_8000.m3u8
CCTV17,http://edge-cache02.live3.omd.sc96655.com/live/CCTV-17_4000.m3u8
CCTV4K,http://edge-cache02.live3.omd.sc96655.com/live/ys4Kcq_2000.m3u8
北京卫视,http://edge-cache02.live3.omd.sc96655.com/live/bjwsH265_4000.m3u8
东方卫视,http://edge-cache02.live3.omd.sc96655.com/live/dfwsH265_4000.m3u8
天津卫视,http://edge-cache02.live3.omd.sc96655.com/live/tjwsH265_4000.m3u8
重庆卫视,http://edge-cache02.live3.omd.sc96655.com/live/cqwsH265_4000.m3u8
黑龙江卫视,http://edge-cache02.live3.omd.sc96655.com/live/hljwsH265_4000.m3u8
吉林卫视,http://edge-cache02.live3.omd.sc96655.com/live/jlwsH265_4000.m3u8
辽宁卫视,http://edge-cache02.live3.omd.sc96655.com/live/lnwsHDH264_4000.m3u8
内蒙古卫视,http://edge-cache02.live3.omd.sc96655.com/live/nmgws_4000.m3u8
甘肃卫视,http://edge-cache02.live3.omd.sc96655.com/live/gsws_4000.m3u8
青海卫视,http://edge-cache02.live3.omd.sc96655.com/live/qhwsH264_2000.m3u8
陕西卫视,http://edge-cache02.live3.omd.sc96655.com/live/sxws_4000.m3u8
山西卫视,http://edge-cache02.live3.omd.sc96655.com/live/sxws42_4000.m3u8
山东卫视,http://edge-cache02.live3.omd.sc96655.com/live/sdwsH265_4000.m3u8
安徽卫视,http://edge-cache02.live3.omd.sc96655.com/live/ahwsH265_4000.m3u8
河南卫视,http://edge-cache02.live3.omd.sc96655.com/live/hnws35_4000.m3u8
湖北卫视,http://edge-cache02.live3.omd.sc96655.com/live/hbwsH265_4000.m3u8
湖南卫视,http://edge-cache02.live3.omd.sc96655.com/live/hnwsH265_4000.m3u8
江西卫视,http://edge-cache02.live3.omd.sc96655.com/live/jxwsH265_4000.m3u8
江苏卫视,http://edge-cache02.live3.omd.sc96655.com/live/jswsH265_4000.m3u8
浙江卫视,http://edge-cache02.live3.omd.sc96655.com/live/zjwsH265_4000.m3u8
东南卫视,http://edge-cache02.live3.omd.sc96655.com/live/dnwsfjwsH265_4000.m3u8
广东卫视,http://edge-cache02.live3.omd.sc96655.com/live/gdwsH265_4000.m3u8
深圳卫视,http://edge-cache02.live3.omd.sc96655.com/live/szwsH265_4000.m3u8
广西卫视,http://edge-cache02.live3.omd.sc96655.com/live/gxws_4000.m3u8
云南卫视,http://edge-cache02.live3.omd.sc96655.com/live/ynws_4000.m3u8
贵州卫视,http://edge-cache02.live3.omd.sc96655.com/live/gzwsH265_4000.m3u8
四川卫视,http://edge-cache02.live3.omd.sc96655.com/live/scwsH265_4000.m3u8
康巴卫视,http://edge-cache02.live3.omd.sc96655.com/live/kbwsH264_2000.m3u8
新疆卫视,http://edge-cache02.live3.omd.sc96655.com/live/xjws_4000.m3u8
兵团卫视,http://edge-cache02.live3.omd.sc96655.com/live/btws_4000.m3u8
西藏卫视,http://edge-cache02.live3.omd.sc96655.com/live/xzwsH264_2000.m3u8
海南卫视,http://edge-cache02.live3.omd.sc96655.com/live/hnws_4000.m3u8
CHC影迷电影,http://edge-cache02.live3.omd.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://edge-cache02.live3.omd.sc96655.com/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://edge-cache02.live3.omd.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8
CETV1,http://edge-cache02.live3.omd.sc96655.com/live/CETV-1H264_4000.m3u8
CETV2,http://edge-cache02.live3.omd.sc96655.com/live/CETV-2_4000.m3u8
CETV4,http://edge-cache02.live3.omd.sc96655.com/live/CETV-4H264_2000.m3u8
TG收集,#genre#
无线翡翠台,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null
无线新闻,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null-1
tvN,https://s1.m16tv.cfd/aktv/tvn/AKTV.m3u8
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠综合台(北美),https://s1.m16tv.cfd/aktv/CH-17/AKTV.m3u8
华丽翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
无線新聞台,https://s1.m16tv.cfd/aktv/CH-1/AKTV.m3u8
无線新聞台,http://php.jdshipin.com/smt.php?id=inews_twn
无线新闻,http://ali.hlspull.yximgs.com/live/awei_wxxw.flv
无线新闻,https://guangdongcmcc.tv12.xyz/5.m3u8
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
PopC,https://s1.m16tv.cfd/aktv/popc/AKTV.m3u8
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
爱奇艺,https://s1.m16tv.cfd/aktv2/iqiyi/AKTV.m3u8
明珠剧集台(北美),https://s1.m16tv.cfd/aktv/CH-19/AKTV.m3u8
明珠台,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null-2
明珠台,https://s1.m16tv.cfd/aktv/CH-2/AKTV.m3u8
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://jxiptv.dpdns.org/stream/tvb/null-4/master.m3u8
TVB Plus,https://s1.m16tv.cfd/aktv/tvbplus/AKTV.m3u8
TVB Plus,http://bx.757888.xyz/mytv/mytvts1.1.php?id=tvbplus
myTV SUPER 18台,https://s1.m16tv.cfd/aktv/mytvsuper18/AKTV.m3u8
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,https://s1.m16tv.cfd/aktv2/viutv/AKTV.m3u8
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,https://s1.m16tv.cfd/aktv/CH-3/AKTV.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,https://s1.m16tv.cfd/aktv/CH-4/AKTV.m3u8
凤凰资讯,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空国际,http://iot-mqqt.111yao.cn:8080/live/diyp_starmovies.m3u8
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
凤凰香港,https://s1.m16tv.cfd/aktv/CH-5/AKTV.m3u8
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://aktv_stream1.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8
美亞電影台(HK),https://s1.m16tv.cfd/aktv/hk/AKTV.m3u8
美亚电影,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null-3
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
美亚电影TW,http://198.16.100.186:8278/meiyamovie_twn/playlist.m3u8?tid=MFEF1001328410013284&ct=19226&tsum=9839709ca0f37641c5d1ba962c3bc739
ROCK Action,https://s1.m16tv.cfd/aktv/rockaction/AKTV.m3u8
HBO,https://s1.m16tv.cfd/aktv2/hbo/AKTV.m3u8
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
天映经典,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null-4
澳视澳门,https://fenghuang.tv12.xyz/181.m3u8
澳视葡文,https://fenghuang.tv12.xyz/182.m3u8
澳门Macau,https://fenghuang.tv12.xyz/183.m3u8
澳门体育,https://fenghuang.tv12.xyz/184.m3u8
澳门资讯,https://fenghuang.tv12.xyz/185.m3u8
澳门综艺,https://fenghuang.tv12.xyz/186.m3u8
澳门莲花,https://fenghuang.tv12.xyz/187.m3u8
民視第一,https://s1.m16tv.cfd/taiwan/CH-0/AKTV.m3u8
東森洋片,https://s1.m16tv.cfd/aktv2/CH-2/AKTV.m3u8
東森電影,https://s1.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
東森電影,http://bx.757888.xyz/mytv/mytvts1.1.php?id=null-10
東森新聞,https://s1.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8
中天新闻台,https://s1.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
TVBS新聞,https://s1.m16tv.cfd/tvbs/tvbs/AKTV.m3u8
tvbs闽南,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
緯來體育台,https://s1.m16tv.cfd/aktv2/CH-0/AKTV.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
CNA,https://s1.m16tv.cfd/aktv3/cna/AKTV.m3u8
KPOP+,https://s1.m16tv.cfd/aktv3/kpop/AKTV.m3u8
Channel 5 HD,https://s1.m16tv.cfd/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,https://s1.m16tv.cfd/aktv/channel8hd/AKTV.m3u8
Channel U HD,https://s1.m16tv.cfd/aktv/channeluhd/AKTV.m3u8
龍祥時代,http://t.061899.xyz/tl/168.php?id=lxsd
龍華偶像,http://t.061899.xyz/tl/168.php?id=lhox
龍華戲劇,http://t.061899.xyz/tl/168.php?id=lhxj
